id,name,sku,categories,fulfillment,source,cost,margin_pct,price,stock_qty,sizes,size_prices,image,description,featured,active,kits,colors,logo,supplier_sku
P001,Absolute H2Orange2 112 Concentrate (Case of 2 Half-Gallons),A-112-02H,EnvirOx; Floor Cleaners; New Building Items; Chemicals,Warehouse,EnvirOx,88.79,33%,133.26,46,,,https://s3.amazonaws.com/cart2order/uploads/65/products/2367/1701707851227.png,"EPA-registered concentrate that replaces 95% of your cleaning chemicals. One case makes 512 mop buckets or 2,000+ spray bottles. Cleans, degreases, and sanitizes glass, floors, restrooms, and carpet with hydrogen peroxide and orange oil.",1,1,,,,
P002,H2Orange2 Green Spray Bottle w/ Trigger,8-550,EnvirOx,Warehouse,EnvirOx,2.60,56.67%,6.00,45,,,https://d3gygecnvdjq5h.cloudfront.net/userfiles/products/images/websites/b2bseller/customer/braind/images/items/8-550.jpg,"32oz color-coded spray bottle with trigger for light duty H2Orange2 dilution. Green = light duty for glass, mirrors, and everyday surfaces.",1,1,,,,
P003,H2Orange2 Red Spray Bottle w/ Trigger,890109,EnvirOx,Warehouse,EnvirOx,2.60,56.67%,6.00,50,,,https://d3gygecnvdjq5h.cloudfront.net/userfiles/products/images/websites/b2bseller/customer/braind/images/items/288-552.jpg,"32oz color-coded spray bottle with trigger for heavy duty H2Orange2 dilution. Red = heavy duty for restrooms, degreasing, and tough jobs.",1,1,,,,
P004,OxiGenesis Disinfectant RTU 32oz,122-06Q,EnvirOx; Chemicals; New Building Items,Warehouse,EnvirOx,5.16,57%,12.00,12,,,https://s3.amazonaws.com/cart2order/uploads/65/products/2371/1701710272232.png,"Ready-to-use disinfectant that requires no PPE. Kills bacteria and viruses in minutes, leaves zero residue, and even works on glass. EPA DfE certified.",1,1,,,,
P005,Mineral Shock Hard Water & Scum Remover RTU,138-12Q,EnvirOx; Chemicals; New Building Items,Warehouse,EnvirOx,13.64,41%,23.12,18,,,https://s3.amazonaws.com/cart2order/uploads/65/products/2396/1701968613978.png,"Ready-to-use acid replacement for hard water, rust, lime, soap scum, and urine salts without harsh fumes. Safe on skin, biodegradable, EcoLogo certified.",1,1,office:core:1; medical:core:1; school:core:1; industrial:opt:1; gmp:opt:1,,,
P006,"60"" Fiberglass Mop Handle w/ Plastic Grip, Yellow",KL-650151,New Building Items; Mopping,Supplier Order,Brady,14.63,35%,22.51,,,,https://assets-e518d5c0cd.cdn.insitecloud.net/2836f3eac1ca0e7_md.jpg,Lightweight fiberglass handle that will not rust or corrode. Standard threaded connection fits most wet mop heads.,0,1,office:core:1; school:core:1; industrial:core:1; gmp:core:1,,,
P007,"Microfiber Tube Wet Mop, Green Large (500g)",MD9002,New Building Items; Mopping,Supplier Order,Brady,12.99,35%,19.98,,,,https://d3gygecnvdjq5h.cloudfront.net/userfiles/products/images/websites/b2bseller/customer/braind/images/items/a10103.jpg,Large microfiber mop that lasts 5x longer than string mops. Washable hundreds of times. Green color for area coding.,0,1,industrial:core:1,,,
P008,"Microfiber Tube Mop Head, Blue 18oz",KL-652162,New Building Items; Mopping,Supplier Order,Brady,14.68,35%,22.58,,,,https://assets-e518d5c0cd.cdn.insitecloud.net/8b4f1e58c1b1f06_md.jpg,"18oz microfiber mop head with 5-inch mesh scrubbing headband. Lint-free, far more absorbent than cotton. Blue for area coding.",0,1,office:core:1; school:core:1; gmp:core:1,,,
P009,"HYGEN Quick-Connect Mop Handle 58"", Aluminum Yellow",MD3154,New Building Items; Mopping,Supplier Order,Brady,9.01,35%,13.86,,,,https://d3gygecnvdjq5h.cloudfront.net/userfiles/products/images/websites/b2bseller/customer/braind/images/items/md3154.jpg,Lightweight aluminum handle with quick-connect for fast mop head changes. Works with all HYGEN quick-connect heads and frames.,0,1,,,,
P010,"HYGEN Q560 Quick-Connect Wet/Dry Mop Frame, 17 in",MD3018,New Building Items; Mopping,Supplier Order,Brady,19.98,35%,30.74,,,,https://d3gygecnvdjq5h.cloudfront.net/userfiles/products/images/websites/b2bseller/customer/braind/images/items/md3018.jpg,"Rubbermaid HYGEN Q560 quick-connect frame that takes 17 to 18 inch microfiber wet or dry pads. Pairs with the 58 in quick-connect handle. This is the frame only, not a complete spray mop system.",0,1,medical:opt:1; industrial:opt:1; gmp:opt:1,,,
P011,"18"" Microfiber Mop Pad, Blue",MD2618,New Building Items; Mopping,Supplier Order,Brady,11.84,35%,18.22,,,,https://d3gygecnvdjq5h.cloudfront.net/userfiles/products/images/websites/b2bseller/customer/braind/images/items/md2618.jpg,18-inch microfiber wet mop pad with serged edges that will not unravel. Washable hundreds of times.,0,1,,,,
P012,Impact Toilet Cone Mop w/ Plastic Handle,AA9103,New Building Items,Supplier Order,Brady,1.81,35%,2.78,,,,https://d3gygecnvdjq5h.cloudfront.net/userfiles/products/images/websites/b2bseller/customer/braind/images/items/aa9103.jpg,Bowl mop for toilets and urinals. Squeeze cone removes excess water. Acid-resistant strands reach under the rim.,0,1,office:core:2; medical:core:2; school:core:2; gmp:opt:1,,,
P013,ACS #19 Angle Broom w/ Metal Handle,AD0852,New Building Items,Supplier Order,Brady,5.98,35%,9.20,,,,https://assets-e518d5c0cd.cdn.insitecloud.net/4ae935b99714012_md.jpg,"Angle broom for corners and tight spaces. Flagged bristles trap fine dust. 12-inch angled head, sturdy metal handle.",0,1,office:core:1; medical:core:1; school:core:1; industrial:core:1; gmp:core:1,,,
P014,"Rubbermaid Heavy-Duty Dust Pan, Charcoal",AH9100,New Building Items,Supplier Order,Brady,3.84,35%,5.91,,,,https://d3gygecnvdjq5h.cloudfront.net/userfiles/products/images/websites/b2bseller/customer/braind/images/items/ah9100.png,Commercial-grade dust pan with 12.25-inch tapered opening and extra-large capacity. Will not rust or crack.,0,1,office:core:1; medical:core:1; school:core:1; industrial:core:1; gmp:core:1,,,
P015,"BRUTE 44 Gallon Trash Container, Black",RA2644,New Building Items,Supplier Order,Brady,47.80,35%,73.54,,,,https://d3gygecnvdjq5h.cloudfront.net/userfiles/products/images/websites/b2bseller/customer/braind/images/items/ra2644.jpg,44-gallon commercial can with venting channels that make full bags 50% easier to pull. Built-in bag clips. Lasts for years.,0,1,industrial:core:1; office:opt:1,,,
P016,"BRUTE Dolly, Black",RB0100,New Building Items,Supplier Order,Brady,45.52,35%,70.03,,,,https://d3gygecnvdjq5h.cloudfront.net/userfiles/products/images/websites/b2bseller/customer/braind/images/items/rb0100.jpg,Heavy-duty twist-lock dolly for 20 to 55-gallon BRUTE cans. Holds 250 lbs on five non-marking casters.,0,1,industrial:core:1,,,
P017,"16x16 Microfiber Cloth, Yellow (Qty 12)",KL-770403,New Building Items,Supplier Order,Brady,8.59,35%,13.22,,,,https://assets-e518d5c0cd.cdn.insitecloud.net/9aa8b8b9a813591_md.jpg,Reusable 16x16 microfiber cloths. Hold 7x their weight in liquid. Yellow for task coding to prevent cross-contamination. Pack of 12.,0,1,office:core:2; medical:core:2; school:core:2; industrial:core:2; gmp:core:2,,,
P018,"16x16 Microfiber Cloth, Red (Qty 12)",KL-770505,New Building Items,Supplier Order,Brady,8.60,35%,13.23,,,,https://assets-e518d5c0cd.cdn.insitecloud.net/a327fe7b1aa5d6b_md.jpg,Reusable 16x16 microfiber cloths. Hold 7x their weight in liquid. Red for restroom coding to prevent cross-contamination. Pack of 12.,0,1,office:core:2; medical:core:2; school:core:2; industrial:core:2; gmp:core:2,,,
P019,"16x16 Microfiber Cloth, Green (Qty 12)",KL-770401,New Building Items,Supplier Order,Brady,8.59,35%,13.22,,,,https://assets-e518d5c0cd.cdn.insitecloud.net/4bf3d4655fa5b4e_md.jpg,Reusable 16x16 microfiber cloths. Hold 7x their weight in liquid. Green for task coding to prevent cross-contamination. Pack of 12.,0,1,office:core:2; medical:core:2; school:core:2; industrial:core:2; gmp:core:2,,,
P020,"16x16 Microfiber Cloth, Blue (Qty 12)",KL-770400,New Building Items,Supplier Order,Brady,7.91,35%,12.17,,,,https://assets-e518d5c0cd.cdn.insitecloud.net/af5e03a4f8f548c_md.jpg,Reusable 16x16 microfiber cloths. Hold 7x their weight in liquid. Blue for task coding to prevent cross-contamination. Pack of 12.,0,1,office:core:1; medical:core:1; school:core:1; industrial:core:1; cleanroom:core:1; gmp:core:1,,,
P021,"Disposable Duster Sleeve, White (Qty 50)",AI9004,New Building Items,Supplier Order,Brady,37.49,35%,57.68,,,,https://d3gygecnvdjq5h.cloudfront.net/userfiles/products/images/websites/b2bseller/customer/braind/images/items/55-8211.jpg,"Disposable microfiber sleeves for Pro Duster and Lambswool dusters. Trap dust, then toss. Pack of 50.",0,1,,,,
P022,"Lambswool Duster w/ Extendable Handle 30-42""",AI0029,New Building Items,Supplier Order,Brady,5.71,35%,8.78,,,,https://d3gygecnvdjq5h.cloudfront.net/userfiles/products/images/websites/b2bseller/customer/braind/images/items/ai0029.jpg,"Extendable duster for vents, fixtures, and molding. Telescopes 30 to 42 inches. Real lambswool traps dust electrostatically.",0,1,office:core:1; school:core:1; gmp:opt:1,,,
P023,Complete Window Cleaning Kit w/ Extension Pole,2510,New Building Items; Window Cleaning,Supplier Order,Brady,109.39,35%,168.29,,,,https://d3gygecnvdjq5h.cloudfront.net/userfiles/products/images/websites/b2bseller/customer/braind/images/items/2510.jpg,"Professional starter kit: 8-foot pole, three squeegee sizes, microfiber sleeve and T-bar, scraper, and replacement rubber.",0,1,office:opt:1; industrial:opt:1,,,
P024,"Wet Floor Sign, English/Spanish",KL-790981,New Building Items,Supplier Order,Brady,10.24,35%,15.75,,,,https://assets-e518d5c0cd.cdn.insitecloud.net/fe0af37e108fb04_md.jpg,"Folding bilingual caution sign in bright yellow. One-hand open and close, folds flat, integrated carry handle.",0,1,office:core:2; medical:core:2; school:core:2; industrial:core:2; gmp:core:2,,,
P025,"Nitrile Exam Gloves, Blue (Box of 100)",INDBLN4LG,New Building Items,Supplier Order,Brady,6.84,35%,10.52,,"Small,Medium,Large",,https://assets-e518d5c0cd.cdn.insitecloud.net/54f7f63f4312e74_md.jpg,"Powder-free 4-mil nitrile gloves. Latex-free, textured fingertips, touchscreen compatible. Box of 100.",0,1,office:core:2; medical:core:2; school:core:2; industrial:core:2; cleanroom:core:2; gmp:core:2,,,
P026,"Safety Glasses, Clear Lens/Black Frame",SD9105,New Building Items,Supplier Order,Brady,1.58,35%,2.43,,,,https://d3gygecnvdjq5h.cloudfront.net/userfiles/products/images/websites/b2bseller/customer/braind/images/items/sd9105.jpg,Wraparound safety glasses with scratch-resistant polycarbonate lenses and 99.9% UV protection.,0,1,industrial:core:2; cleanroom:core:1; gmp:core:2; office:opt:1,,,
P027,TruShot 2.0 Trigger Dispenser,311981,New Building Items; Cleaning Tools; TruShot,Supplier Order,Brady,,,24.99,,,,https://www.scjp.com/sites/default/files/styles/product/public/2020-10/TruShot_trigger-800x800.png,Reusable trigger sprayer for the TruShot cartridge system. Built-in 10oz reservoir auto-dilutes as you spray. One dispenser replaces dozens of bottles.,0,1,,,,
P028,TruShot 2.0 Restroom Cleaner Cartridge (Qty 4),379844,New Building Items; Chemicals; TruShot,Supplier Order,Brady,30.95,35%,47.62,,,,https://assets-e518d5c0cd.cdn.insitecloud.net/306abd80b2be034_md.jpg,"Concentrated restroom cleaner cartridges. Each 9oz cartridge makes 16 ready-to-use quarts. Removes soap scum, hard water, and limescale.",0,1,,,,
P029,TruShot 2.0 Hospital Cleaner/Disinfectant Cartridge (Qty 4),379848,New Building Items; Chemicals; TruShot,Supplier Order,Brady,52.73,35%,81.12,,,,https://assets-e518d5c0cd.cdn.insitecloud.net/301cbe3363d93f7_md.jpg,"Hospital-grade one-step cleaner and disinfectant cartridges. Kills bacteria, viruses, and fungi on all hard surfaces.",0,1,,,,
P030,TruShot 2.0 Power Cleaner/Degreaser Cartridge (Qty 4),379842,New Building Items; Chemicals; TruShot,Supplier Order,Brady,44.68,35%,68.74,,,,https://assets-e518d5c0cd.cdn.insitecloud.net/b9c14539916672f_md.jpg,"Heavy-duty degreaser cartridges for kitchens and high-grease areas. Cuts grease, oils, adhesives, and grime.",0,1,,,,
P031,TruShot 2.0 Glass/Multi-Surface Cleaner Cartridge (Qty 4),379846,New Building Items; Chemicals; TruShot,Supplier Order,Brady,35.60,35%,54.77,,,,https://assets-e518d5c0cd.cdn.insitecloud.net/bbfce0908271fc3_md.jpg,"Glass and all-purpose cartridges. Each 9oz cartridge makes up to 38 quarts. Streak-free on glass, mirrors, and counters.",0,1,,,,
P032,"Master Dispenser Key Set, 27 Keys on Ring",DKMSTRSET-1,New Building Items; Cleaning Tools,Supplier Order,Dispenser Keys,39.95,35%,61.46,,,,https://cdn11.bigcommerce.com/s-3o09zq/images/stencil/608x608/products/362/922/IMG_0163_1__15292.1730902098.jpg?c=2,"Opens 27 dispenser types from Georgia Pacific, Kimberly Clark, Bobrick, San Jamar, and more. One ring for every building.",0,1,office:core:1; medical:core:1; school:core:1; gmp:opt:1,,,
P033,Carpet Prespray & Spotter RTU 32oz,CD2012,New Building Items; Chemicals,Supplier Order,Brady,2.88,35%,4.43,,,,https://d3gygecnvdjq5h.cloudfront.net/userfiles/products/images/websites/b2bseller/customer/braind/images/items/cd2012.jpg,Ready-to-use carpet spot remover and traffic lane pretreatment. Spray on stains before extracting or shampooing.,0,1,office:core:1; school:core:1; medical:opt:1,,,
P034,Stainless Steel Cleaner RTU 32oz,CO9100,New Building Items; Chemicals; Octapharma,Supplier Order,Brady,3.70,35%,5.69,,,,https://d3gygecnvdjq5h.cloudfront.net/userfiles/products/images/websites/b2bseller/customer/braind/images/items/co9100.jpg,"Water-based stainless cleaner and protectant. No oily residue. For appliances, elevators, railings, and kitchen equipment.",0,1,medical:core:1; office:opt:1,,,
P035,Gum Remover Aerosol 6.5oz,KL-AEROGUMRMVR,New Building Items; Chemicals,Supplier Order,Brady,5.87,35%,9.03,,,,https://assets-e518d5c0cd.cdn.insitecloud.net/70551044e9f0273_md.jpg,"Freezes gum, wax, and sticky residue to -40F for easy removal from carpet, upholstery, and flooring.",0,1,school:opt:1; office:opt:1,,,
P036,Impact Bucketless Microfiber Mop,IMP-T0022-00,New Building Items; Cleaning Tools; Mopping,Supplier Order,Brady,60.49,35%,93.06,,,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ2aFa651VJA2WEgvtqDK94u7pV6wl7NsmHNyGrMq_NrA&s=10,"Complete bucketless mop with built-in 32oz solution bottle, 16-inch hook-and-loop frame, and 54-inch swivel handle.",0,1,office:opt:1,,,
P037,GoFit 6 Backpack Vacuum w/ Telescoping Wand Kit,PT107696,New Building Items; Vacuums; Equipment,Supplier Order,Brady,387.43,35%,596.05,,,,https://assets-e518d5c0cd.cdn.insitecloud.net/8a29aed76dd5455_md.jpg,Corded 6qt backpack with HEPA filtration and all-day harness. Xover tool works on carpet and hard floors. 50-foot cord.,0,1,office:opt:1,,,
